Median Home Value,Median Household Income,Zip Code
362000,50750,92070
323500,71100,92071
950300,87701,92075
369700,54441,92078
390700,54448,92081
439800,81835,92082
284000,46580,92083
391800,47559,92084
169000,38021,92086
986000,131406,92091
448700,52550,92101
278500,40557,92102
546800,62092,92103
427200,47947,92104
266700,37534,92105
834800,82075,92106
650700,60929,92107
285000,63098,92108
717300,64478,92109
466300,59719,92110
387100,57350,92111
238200,27675,92113
272300,56310,92114
365800,41866,92115
447200,53448,92116
447300,64026,92117
1000001,91103,92118
423700,67616,92119
455800,81000,92120
569000,104063,92121
576200,65871,92122
396100,71412,92123
519100,80463,92124
378400,81505,92126
618400,120106,92127
491300,92531,92128
577700,107870,92129
832900,127968,92130
627000,124099,92131
,,92133
,,92135
273400,58079,92139
269800,57618,92154
254300,36621,92173
,,92194
,,92197
,,92199
157100,41335,92201
249900,72005,92203
598300,84286,92210
346100,56737,92211
161400,39291,92220
207700,65692,92223
124100,42799,92225
150900,42614,92227
62800,33333,92230
153200,35723,92231
85400,35152,92233
179400,44440,92234
137900,41467,92236
119200,33682,92240
57000,37279,92241
74300,27279,92242
148400,42618,92243
154200,55886,92249
137600,41133,92250
177000,71574,92251
125500,42338,92252
348400,68107,92253
90800,27156,92254
119000,28594,92256
47800,16082,92257
297500,49446,92260
279800,46515,92262
245700,43246,92264
,,92267
518000,77526,92270
43000,27305,92274
141700,42842,92276
123900,39382,92277
,66875,92278
,,92280
119100,30543,92281
89000,36544,92282
61100,28913,92283
135500,41398,92284
66000,22917,92285
,,92292
95700,37565,92301
803000,75076,92305
179900,56477,92307
162500,43472,92308
40500,32833,92309
,49778,92310
104600,46279,92311
232300,64129,92313
212000,45473,92314
327300,34088,92315
178800,48276,92316
160900,43839,92320
,,92323
160600,41198,92324
53400,37000,92327
27000,38500,92328
,,92332
174000,42943,92335
283700,87116,92336
228500,69804,92337
,,92338
237500,61563,92339
201400,65794,92342
200700,65339,92344
145200,42421,92345
235500,62198,92346
89100,63462,92347
282300,58700,92354
101500,31662,92356
205000,57368,92358
220300,54792,92359
97200,30077,92363
